Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Sup. Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOBValueUSD,Total tax (ETB),Total tax (USD)
2017,1,1000 100,5119990,"---OTHER ANIMAL PRODUCTS ,DEAD ANIMAL OF CHAP .1",Hong Kong,,,3.93 ,2.09,"477,475.03",19716.6,0,0
2017,8,1000 100,46019900,#NAME?,United States,,,2.20 ,2.1,889.53,36.73,0,0
2017,2,1000 100,71031000,#NAME?,Canada,,,2.82 ,2.15,"54,509.98",2250.91,0,0
2017,7,1000 100,71031000,#NAME?,Israel,,,2.40 ,2.24,"568,937.21",23493.4,0,0
2017,9,1000 100,5119990,"---OTHER ANIMAL PRODUCTS ,DEAD ANIMAL OF CHAP .1",Hong Kong,,,3.25 ,2.3,"485,671.00",20055.04,0,0
2017,10,1000 100,71031000,#NAME?,Sri Lanka,,,2.75 ,2.37,"883,935.93",36500.79,0,0
2017,9,1000 100,71031000,#NAME?,"Korea, Republic of",,,3.40 ,2.4,"264,425.28",10919.04,0,0
2017,4,1000 100,61143000,#NAME?,India,,,2.75 ,2.5,"97,963.20",4045.24,0,0
2017,8,1000 100,9012100,"Roasted coffee, not decaffeinated",Norway,,,2.57 ,2.5,"2,923.69",120.73,0,0
2017,5,1000 100,7129090,#NAME?,Turkey,,,3.00 ,2.55,"2,068.55",85.42,0,0
2017,5,1000 100,7129090,#NAME?,Sri Lanka,,,3.00 ,2.55,"2,059.31",85.04,0,0
2017,2,1000 100,71031000,#NAME?,Thailand,,,2.99 ,2.67,"532,328.33",21981.69,0,0
2017,11,1000 100,64039100,#NAME?,United States,3,2UN,2.98 ,2.68,"5,220.86",215.59,0,0
2017,7,3052 505,63052000,#NAME?,United States,,,3.70 ,2.7,752.38,31.07,0,0
2017,2,1000 100,71171990,---IMITATION JEWELLERY OF BASE METAL PLATED OR NOT WITH PRECIOUS METAL;NES,United States,,,3.05 ,2.8,"42,450.39",1752.92,0,0
2017,12,3052 505,52111900,#NAME?,United States,15,M,14.50 ,2.8,"2,883.02",119.05,0,0
2017,4,1000 100,5119990,"---OTHER ANIMAL PRODUCTS ,DEAD ANIMAL OF CHAP .1",Hong Kong,,,4.20 ,2.8,"644,884.80",26629.54,0,0
2017,4,1000 100,7129090,#NAME?,Egypt,,,3.50 ,2.98,"2,403.67",99.26,0,0
2017,6,1000 100,71162090,#NAME?,India,,,3.50 ,2.99,"324,843.47",13413.92,0,0
2017,10,1000 100,71031000,#NAME?,United States,,,4.30 ,2.99,"908,102.02",37498.69,0,0
2017,5,1000 100,92060010,#NAME?,Russian Federation,5,UN,4.00 ,3,922.94,38.11,0,0
2017,5,1000 100,92029000,#NAME?,United States,3,UN,4.50 ,3,208.59,8.61,0,0
2017,4,1000 100,73239400,"Table, kitchen or household articles... of iron or steel, enamelled",United Kingdom,10,UN,4.00 ,3,229.96,9.5,0,0
2017,9,1000 100,71031000,#NAME?,"Taiwan, Province of China",,,3.40 ,3,"446,988.30",18457.7,0,0
2017,11,1000 100,71031000,#NAME?,Mexico,,,3.50 ,3,"527,555.85",21784.62,0,0
2017,8,1000 100,68052000,"Natural or artificial abrasive powder/grain, on paper/paperboard",South Sudan,,,3.00 ,3,187.49,7.74,0,0
2017,2,1000 100,64051000,#NAME?,United Kingdom,4,2UN,3.50 ,3,"4,164.85",171.98,0,0
2017,4,1000 100,64051000,#NAME?,United Kingdom,5,2UN,4.00 ,3,"6,199.31",255.99,0,0
2017,4,1000 100,64051000,#NAME?,France,5,2UN,4.00 ,3,"5,841.00",241.2,0,0
2017,4,1000 100,64051000,#NAME?,Australia,5,2UN,4.00 ,3,"5,496.06",226.95,0,0
2017,6,1000 100,64051000,#NAME?,Austria,5,2UN,4.00 ,3,"6,018.19",248.51,0,0
2017,2,1000 100,63023100,"Bed linen of cotton (excl. printed, knitted or crocheted)",Australia,,,4.00 ,3,"1,313.93",54.26,0,0
2017,11,1000 100,63019000,#NAME?,United States,,,5.00 ,3,"3,557.94",146.92,0,0
2017,7,1000 100,61171000,#NAME?,Canada,25,M2,3.75 ,3,"3,499.06",144.49,0,0
2017,11,1000 100,49019900,#NAME?,United States,1,UN,4.00 ,3,"1,933.00",79.82,0,0
